Date,Open,High,Low,Close,Volume,Adj Close
2014-04-15,500.01,515.0,453.16,499.01,28535.84410595,499.01
2014-04-16,535.01,548.0,494.02,534.0,31159.9413002,534.0
2014-04-17,504.7,537.24,481.63,506.52,21126.37508023,506.52
2014-04-18,484.14,508.43,470.0,487.0,11879.48475557,487.0
2014-04-19,504.74,507.43,472.81,504.74,10262.19586146,504.74
2014-04-20,496.2,516.53,493.0,496.2,6034.64113905,496.2
2014-04-21,496.31,515.0,490.0,497.0,8429.04572287,497.0
2014-04-22,488.27,504.9,486.44,489.5,7651.35803164,489.5
2014-04-23,491.8,495.2,484.61,491.31,6490.42232713,491.31
2014-04-24,496.16,499.0,480.0,498.32,6875.47342801,498.32
2014-04-25,462.5,505.0,438.05,463.54,32311.71980748,463.54
2014-04-26,459.0,470.96,451.07,459.0,10885.1048664,459.0
2014-04-27,446.9,461.97,438.88,446.9,7383.82659768,446.9
2014-04-28,447.03,452.16,424.0,447.03,18802.95830003,447.03
2014-04-29,447.31,454.47,432.02,447.32,15120.3357134,447.32
2014-04-30,448.51,451.88,433.08,450.1,9694.95230401,450.1
2014-05-01,458.69,465.88,444.79,460.98,10479.31086448,460.98
2014-05-02,448.62,462.99,444.51,448.62,7670.55277468,448.62
2014-05-03,438.6,455.78,431.0,438.22,8260.32135281,438.22
2014-05-04,438.0,441.9,429.55,438.0,4040.22365697,438.0
2014-05-05,431.19,445.0,425.0,431.8,9136.02425448,431.8
2014-05-06,431.85,434.89,420.27,431.84,8280.88136882,431.84
2014-05-07,447.06,452.0,425.67,448.2,12038.17376555,448.2
2014-05-08,442.01,450.08,438.0,443.09,7245.83728943,443.09
2014-05-10,454.6,455.5,449.79,455.5,3277.33718336,455.5
2014-05-11,438.78,459.24,429.6,439.27,9337.98139616,439.27
2014-05-12,441.14,443.6,431.56,441.14,4650.35552554,441.14
2014-05-13,437.27,443.77,430.61,438.88,6120.56580368,438.88
2014-05-14,447.48,449.96,437.24,447.48,6190.16395097,447.48
2014-05-15,448.01,452.67,444.0,448.38,5668.81379882,448.38
2014-05-16,449.71,452.41,444.5,449.71,3721.09323689,449.71
2014-05-17,449.03,451.48,445.01,450.67,2389.08237771,450.67
2014-05-18,446.25,451.43,444.52,446.28,2505.62835683,446.28
2014-05-19,447.08,450.0,441.44,447.08,4649.9055174,447.08
2014-05-20,484.62,500.0,446.24,486.98,27451.56641889,486.98
2014-05-21,494.37,499.1,484.8,494.38,7763.72032313,494.38
2014-05-22,523.91,528.87,492.65,525.0,16566.99493027,525.0
2014-05-23,529.11,547.1,519.97,529.11,19281.29289312,529.11
2014-05-24,525.62,532.64,515.4,525.62,6528.66202408,525.62
2014-05-25,569.8,586.34,524.5,569.82,19696.48756522,569.82
2014-05-26,580.85,593.48,565.58,581.93,11987.53752011,581.93
2014-05-27,577.0,595.0,550.22,577.0,19376.39228613,577.0
2014-05-28,572.59,582.26,563.45,574.5,8672.88728525,574.5
2014-05-29,569.98,582.1,560.05,571.49,8742.09658003,571.49
2014-05-30,622.55,624.36,568.56,622.55,19999.82991863,622.55
2014-05-31,624.78,629.4,611.0,625.54,11941.51052504,625.54
2014-06-01,641.02,683.26,618.53,641.02,23349.05876353,641.02
2014-06-02,672.66,677.77,613.03,672.66,18105.36273727,672.66
2014-06-03,668.8,680.99,649.61,669.9,16331.00167535,669.9
2014-06-04,644.02,673.87,621.86,646.0,17245.21001154,646.0
2014-06-05,661.43,669.63,639.69,664.69,10672.51601555,664.69
2014-06-06,654.01,664.97,647.86,654.01,6216.08564801,654.01
2014-06-07,655.45,656.84,635.88,656.11,6313.44950642,656.11
2014-06-08,655.0,661.11,651.7,656.2,2515.39855303,656.2
2014-06-09,644.42,659.0,639.93,646.0,6698.09572966,646.0
2014-06-10,646.09,657.41,642.08,646.09,6172.18012614,646.09
2014-06-11,620.9,652.39,615.0,620.91,9557.55659304,620.91
2014-06-12,572.15,630.36,571.0,575.89,15374.84930737,575.89
2014-06-13,588.66,611.99,550.0,588.54,28843.43024165,588.54
2014-06-14,559.06,593.53,538.38,559.06,14715.92185313,559.06
2014-06-15,571.56,576.64,552.11,571.56,7485.99911141,571.56
2014-06-16,595.01,610.0,571.01,596.0,13578.27725016,596.0
2014-06-17,604.95,608.88,580.0,604.6,6048.92969207,604.6
2014-06-18,607.02,616.0,599.9,607.87,7757.93966383,607.87
2014-06-19,595.53,609.98,593.68,595.53,3946.15920627,595.53
2014-06-20,594.01,598.68,580.51,594.01,7280.35186255,594.01
2014-06-21,590.08,594.97,580.0,590.08,2819.72672898,590.08
2014-06-22,598.22,605.05,587.82,599.99,4120.15286008,599.99
2014-06-23,588.24,601.0,580.46,588.24,5172.38295606,588.24
2014-06-24,582.73,588.67,579.99,582.73,4948.11065124,582.73
2014-06-25,563.05,582.82,555.11,564.1,9899.08420082,564.1
2014-06-26,573.74,574.93,554.45,573.82,4814.70919658,573.82
2014-06-27,582.27,590.0,573.52,583.0,7707.04777636,583.0
2014-06-28,593.94,604.21,582.28,596.9,4824.23570869,596.9
2014-06-29,595.02,601.79,589.56,596.4,1665.60264846,596.4
2014-06-30,641.0,647.09,595.02,642.86,15435.11173452,642.86
2014-07-01,646.8,658.88,636.0,649.61,9459.33510683,649.61
2014-07-02,647.6,658.75,638.0,649.91,5605.47970911,649.91
2014-07-03,642.61,652.79,638.79,644.87,4890.15418397,644.87
2014-07-04,628.5,650.48,616.3,631.04,8816.3507186,631.04
2014-07-05,624.44,632.97,623.23,624.44,1795.02151747,624.44
2014-07-06,631.66,639.0,622.86,632.89,3485.13673529,632.89
2014-07-07,620.01,636.0,612.9,621.5,7035.02593881,621.5
2014-07-08,623.22,626.62,616.89,623.22,2671.09093189,623.22
2014-07-09,623.0,626.88,618.71,624.0,2259.42390756,624.0
2014-07-10,616.14,624.35,607.9,617.99,6214.93056255,617.99
