2017-12-07, |{'final_value': 102450.66063069695, 'pfast': 5, 'pslow': 16}
2017-12-07, |{'final_value': 99718.57489651546, 'pfast': 5, 'pslow': 21}
2017-12-07, |{'final_value': 19159.08399413529, 'pfast': 5, 'pslow': 24}
2017-12-07, |{'final_value': 20509.520590526477, 'pfast': 5, 'pslow': 27}
2017-12-07, |{'final_value': 20197.457882360304, 'pfast': 5, 'pslow': 31}
2017-12-07, |{'final_value': 91049.27378291119, 'pfast': 6, 'pslow': 15}
2017-12-07, |{'final_value': 123665.85456515528, 'pfast': 6, 'pslow': 19}
2017-12-07, |{'final_value': 58748.01147764161, 'pfast': 6, 'pslow': 23}
2017-12-07, |{'final_value': 61561.30906492894, 'pfast': 6, 'pslow': 27}
2017-12-07, |{'final_value': 24390.344963985444, 'pfast': 6, 'pslow': 31}
2017-12-07, |{'final_value': 53142.38575449237, 'pfast': 7, 'pslow': 15}
2017-12-07, |{'final_value': 158331.28504066216, 'pfast': 7, 'pslow': 19}
2017-12-07, |{'final_value': 66971.21353975631, 'pfast': 7, 'pslow': 23}
2017-12-07, |{'final_value': 25203.90805369093, 'pfast': 7, 'pslow': 27}
2017-12-07, |{'final_value': 20165.097472975165, 'pfast': 7, 'pslow': 31}
2017-12-07, |{'final_value': 55337.323854659015, 'pfast': 8, 'pslow': 15}
2017-12-07, |{'final_value': 140319.53154873534, 'pfast': 8, 'pslow': 19}
2017-12-07, |{'final_value': 121894.18943954642, 'pfast': 8, 'pslow': 23}
2017-12-07, |{'final_value': 21346.77294263004, 'pfast': 8, 'pslow': 27}
2017-12-07, |{'final_value': 20030.127847079133, 'pfast': 8, 'pslow': 31}
2017-12-07, |{'final_value': 52125.4721919282, 'pfast': 9, 'pslow': 15}
2017-12-07, |{'final_value': 278940.8930774451, 'pfast': 9, 'pslow': 19}
2017-12-07, |{'final_value': 32309.51387133581, 'pfast': 9, 'pslow': 23}
2017-12-07, |{'final_value': 19980.7173116905, 'pfast': 9, 'pslow': 27}
2017-12-07, |{'final_value': 22504.495113163182, 'pfast': 9, 'pslow': 31}
2017-12-07, |{'final_value': 58352.270087772966, 'pfast': 10, 'pslow': 15}
2017-12-07, |{'final_value': 321602.48271756043, 'pfast': 10, 'pslow': 19}
2017-12-07, |{'final_value': 38871.40858391646, 'pfast': 10, 'pslow': 23}
2017-12-07, |{'final_value': 33602.161477706766, 'pfast': 10, 'pslow': 27}
2017-12-07, |{'final_value': 29920.600463171984, 'pfast': 10, 'pslow': 33}
2017-12-07, |{'final_value': 174748.48126206783, 'pfast': 11, 'pslow': 17}
2017-12-07, |{'final_value': 116723.66587202204, 'pfast': 11, 'pslow': 20}
2017-12-07, |{'final_value': 28633.205941171487, 'pfast': 11, 'pslow': 23}
2017-12-07, |{'final_value': 29069.020554158124, 'pfast': 11, 'pslow': 28}
2017-12-07, |{'final_value': 27550.421354487553, 'pfast': 11, 'pslow': 31}
2017-12-07, |{'final_value': 95798.31355040873, 'pfast': 5, 'pslow': 18}
2017-12-07, |{'final_value': 98150.45422295807, 'pfast': 5, 'pslow': 19}
2017-12-07, |{'final_value': 47336.68293910505, 'pfast': 5, 'pslow': 23}
2017-12-07, |{'final_value': 27778.30283783597, 'pfast': 5, 'pslow': 29}
2017-12-07, |{'final_value': 25259.110966861706, 'pfast': 5, 'pslow': 32}
2017-12-07, |{'final_value': 93682.88215112936, 'pfast': 6, 'pslow': 16}
2017-12-07, |{'final_value': 128220.51833935227, 'pfast': 6, 'pslow': 21}
2017-12-07, |{'final_value': 18113.398879713786, 'pfast': 6, 'pslow': 24}
2017-12-07, |{'final_value': 30470.719800223233, 'pfast': 6, 'pslow': 28}
2017-12-07, |{'final_value': 19473.037676515945, 'pfast': 6, 'pslow': 33}
2017-12-07, |{'final_value': 97299.27400141026, 'pfast': 7, 'pslow': 17}
2017-12-07, |{'final_value': 76496.47532751483, 'pfast': 7, 'pslow': 22}
2017-12-07, |{'final_value': 19631.098662294953, 'pfast': 7, 'pslow': 25}
2017-12-07, |{'final_value': 19967.42130590956, 'pfast': 7, 'pslow': 29}
2017-12-07, |{'final_value': 22526.011535643345, 'pfast': 7, 'pslow': 33}
2017-12-07, |{'final_value': 207853.82260324073, 'pfast': 8, 'pslow': 18}
2017-12-07, |{'final_value': 240664.99657910928, 'pfast': 8, 'pslow': 21}
2017-12-07, |{'final_value': 22806.95891268462, 'pfast': 8, 'pslow': 25}
2017-12-07, |{'final_value': 22607.80577261345, 'pfast': 8, 'pslow': 29}
2017-12-07, |{'final_value': 25618.760682141634, 'pfast': 8, 'pslow': 33}
2017-12-07, |{'final_value': 80433.56475446724, 'pfast': 9, 'pslow': 16}
2017-12-07, |{'final_value': 269547.24046286225, 'pfast': 9, 'pslow': 21}
2017-12-07, |{'final_value': 25547.619796827214, 'pfast': 9, 'pslow': 25}
2017-12-07, |{'final_value': 24615.666093385975, 'pfast': 9, 'pslow': 28}
2017-12-07, |{'final_value': 24734.94319804963, 'pfast': 9, 'pslow': 32}
2017-12-07, |{'final_value': 169920.80757571233, 'pfast': 10, 'pslow': 17}
2017-12-07, |{'final_value': 45919.54197820643, 'pfast': 10, 'pslow': 21}
2017-12-07, |{'final_value': 27905.84486078895, 'pfast': 10, 'pslow': 25}
2017-12-07, |{'final_value': 26869.543034057016, 'pfast': 10, 'pslow': 28}
